_id,Name,Code,date,High,Low,Open,Close,Last,Total_Trade_Quantity,Turnover_in_Lakhs,Sector,Index
ObjectId(58d10298e9804518868d97bf),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-04-03T00:00:00.000Z,40.9,40,40,40.55,40.55,1.897303e+06,768.58,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c0),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-04-10T00:00:00.000Z,38.7,36.55,38.05,37,37,7.981405e+06,2995.01,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c1),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-04-17T00:00:00.000Z,37.85,37.1,37.65,37.3,37.25,3.263224e+06,1222.89,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c2),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-04-24T00:00:00.000Z,39.55,38.3,38.3,38.8,38.85,2.973025e+06,1161.19,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c3),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-05-01T00:00:00.000Z,39.55,37.85,38.8,38.75,38.85,3.605222e+06,1398.08,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c4),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-05-08T00:00:00.000Z,37.35,36.65,37,37,37.05,1.911691e+06,707.97,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c5),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-05-15T00:00:00.000Z,41.55,39.65,40.45,40.6,40.75,1.1445059e+07,4670.43,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c6),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-05-22T00:00:00.000Z,40.4,39.4,40.2,39.5,39.5,3.208551e+06,1277.66,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c7),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-05-29T00:00:00.000Z,40.65,39.65,40.15,40.2,40.25,5.615784e+06,2256.55,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c8),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-06-05T00:00:00.000Z,41.05,39.75,40.3,39.85,39.8,2.786419e+06,1122.59,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97c9),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-06-12T00:00:00.000Z,42.45,40.7,42.3,40.85,40.8,8.208071e+06,3422.23,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97ca),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-06-19T00:00:00.000Z,42.6,41.05,41.35,42.1,42.05,6.0134e+06,2515.1,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97cb),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-06-26T00:00:00.000Z,41.3,39.3,41.1,40.55,40.4,6.169815e+06,2481.84,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97cc),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-07-03T00:00:00.000Z,46.1,44.55,45.25,45.55,45.35,3.687589e+06,1678.49,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97cd),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-07-10T00:00:00.000Z,46.25,44.5,45.4,45.75,45.85,4.663656e+06,2120.17,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97ce),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-07-17T00:00:00.000Z,41.75,40.55,41.65,40.8,40.85,6.313512e+06,2590.33,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97cf),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-07-24T00:00:00.000Z,39.7,38.9,39.55,39.55,39.55,5.119238e+06,2011.33,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97d0),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-07-31T00:00:00.000Z,40.8,39.7,39.7,40.35,40.45,4.670149e+06,1882.72,MEDIA & ENTERTAINMENT,NIFTY MEDIA
