NSE/BECREL,Best & Crompton Engg. Limited,
NSE/CNXSMALLCAP,National Stock Exchange of India Stock Index - CNX SMALLCAP,
NSE/CNX_IT,National Stock Exchange of India (NSE) Stock Index - CNX IT,
NSE/PALREDTECH,Palred Technologies Limited,
NSE/NEOCURE,Neocure Therapeutics Limited,
NSE/SIGNETIND,Signet Industries Limited,
NSE/FCSSOFT,FCS Software Solutions Limited,
NSE/CNXMETAL,National Stock Exchange of India Stock Index - CNX METAL,
NSE/SAMBANDAM,Sambandam Spinning Mills Limited,
NSE/SAVERA,Savera Industries Limited,
NSE/PILANIINV,Pilani Investment and Industries Corporation Limited,
NSE/IPRINGLTD,IP Rings Limited,
NSE/RAJPALAYAM,Rajapalayam Mills Limited,
NSE/DALMIAREF,Dalmia Refractories Limited,
NSE/RMMIL,Resurgere Mines & Minerals Limited,
NSE/DIAPOWER,Diamond Power Infra Ltd,
NSE/MUDRA,Mudra Lifestyle Limited,
NSE/ALPINEHOU,Alpine Housing Development Corporation Limited,
NSE/NGCT,Northgate Com Tech Limited,
NSE/ARVINDREM,Arvind Remedies Limited,
NSE/GUJSTATFIN,Gujarat State Financial Corporation,
NSE/INGVYSYABK,ING Vysya Bank Limited,
NSE/IIFLNIFTY,IIFL Mutual Fund - Nifty ETF,
NSE/SKUMARSYNF,S. Kumars Nationwide Limited,
NSE/PRITHVI,Prithvi Information Solutions Limited,
NSE/SHIV_VANI,Shiv-Vani Oil & Gas Exploration Services Limited,
NSE/RELGRNIFTY,Religare Invesco Nifty Exchange Traded Fund,
NSE/TECPRO,Tecpro Systems Limited,
NSE/RANBAXY,Ranbaxy Laboratories Limited,
NSE/MGOLD,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Gold ETF,
NSE/VAKRANSOFT,Vakrangee Softwares Limited,
NSE/SPANCO,Spanco Limited,
NSE/SPCNXNIFTYSHARIAH,National Stock Exchange of India Stock Index - S&P CNX NIFTY SHARIAH,
NSE/MUNDRAPORT,Mundra Port and Special Economic Zone Limited,
NSE/MBSWITCH,M AND B Switchgears Limited,
NSE/FTCPOF5YGR,Franklin Templeton Capital Protection Oriented Fund,
NSE/CNXREALTY,National Stock Exchange of India Stock Index - CNX REALTY,
NSE/NEHAINT,Neha International Limited,
NSE/VAIBHAVGEM,Vaibhav Gems Limited,
NSE/THINKSOFT,Thinksoft Global Services Limited,
NSE/SPCNX500,National Stock Exchange of India Stock Index - S&P CNX 500,
NSE/NIFTYMIDCAP50,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50,
NSE/VIKASHMET,Vikash Metal & Power Limited,
NSE/MMFSL,Money Matters Financial Services Limited,
NSE/BOC,BOC India Limited,
NSE/INFOTECENT,Infotech Enterprises Limited,
NSE/INDIABULLS,Indiabulls Financial Services Limited,
NSE/FKONCO,Fresenius Kabi Oncology Limited,
NSE/ASHCONIUL,Ashco Niulab Industries Limited,
NSE/COROENGG,Coromandel Engineering Company Limited,
NSE/LAKSHMIMIL,The Lakshmi Mills Company Limited,
NSE/SPCNX,National Stock Exchange of India Stock Index - S&P CNX 500,
NSE/MORARJETEX,Morarjee Textiles Limited,
NSE/CNXPSUBANK,National Stock Exchange of India Stock Index - CNX PSU BANK,
NSE/NATHSEED,Nath Seeds  Limited,
NSE/CNXMIDCAP,National Stock Exchange of India Stock Index - CNX MIDCAP,
NSE/BODHTREE,Bodhtree Consulting Limited,
NSE/EDSERV,Edserv Softsystems Limited,
NSE/CORAL_HUB,Coral Hub Limited,
NSE/VISHALRET,Vishal Retail Limited,
NSE/SENTINEL,Sentinel Tea and Exports Limited,
NSE/ANKURDRUGS,Ankur Drugs And Pharma Limited,
NSE/AANJANEYA,Aanjaneya Lifecare Limited,
NSE/BHAGWATIHO,Bhagwati Banquets and Hotels Limited,
NSE/CNXAUTO,National Stock Exchange of India Stock Index - CNX AUTO,
NSE/AMLSTEEL,AML Steel Limited,
NSE/RAINCOM,Rain Commodities  Limited,
NSE/PONDYOXIDE,Pondy Oxides & Chemicals Limited,
NSE/KSE,KSE Limited,
NSE/KINETICMOT,Kinetic Motor Company Limited,
NSE/FIRSTLEASE,First Leasing Company of India Limited,
NSE/KLGSYSTEL,KLG Systel Limited,
NSE/SURAJDIAMN,Su-Raj Diamonds and Jewellery Limited,
NSE/SESAGOA,Sesa Goa Limited,
NSE/BIRLAPOWER,Birla Power Solutions Limited,
NSE/JSWISPAT,JSW ISPAT Steel Limited,
NSE/NOVOPANIND,Novopan Industries Limited,
NSE/SUJANATOW,Sujana Tower Limited,
NSE/TELEDATAIT,Teledata Technology Solutions Limited,
NSE/CREWBOS,Crew B.O.S. Products Limited,
NSE/MADRASCEM,Madras Cements Limited,
NSE/CHEMPLAST,Chemplast Sanmar Limited,
NSE/CNXDIVIDENDOPPT,National Stock Exchange of India Stock Index - CNX DIVIDEND OPPT,
NSE/CNXPSE,National Stock Exchange of India Stock Index - CNX PSE,
NSE/NIFTYDIVIDEND,National Stock Exchange of India Stock Index - NIFTY DIVIDEND,
NSE/CNX100,National Stock Exchange of India Stock Index - CNX 100,
NSE/DCHL,Deccan Chronicle Holdings Limited,
NSE/SARTHAKIND,Sarthak Industries Limited,
NSE/OSWALMIN,Oswal Minerals Limited,
NSE/TANFACIND,Tanfac Industries Limited,
NSE/APPAPER,The Andhra Pradesh Paper Mills Limited,
NSE/PANTALOONR,Pantaloon Retail (India) Limited,
NSE/CNXCONSUMPTION,National Stock Exchange of India Stock Index - CNX CONSUMPTION,
NSE/JDORGOCHEM,JD Orgochem Limited,
NSE/CNXPHARMA,National Stock Exchange of India Stock Index - CNX PHARMA,
NSE/CNXINFRA,National Stock Exchange of India Stock Index - CNX INFRA,
NSE/SMOBILITY,S Mobility Limited,
NSE/CNXFMCG,National Stock Exchange of India Stock Index - CNX FMCG,
NSE/TAKSHEEL,Taksheel Solutions Limited,
NSE/CHETTINAD,Chettinad Cement Corporation Limited,
NSE/GRABALALK,Grabal Alok Impex Limited,
NSE/SHRINATRAJ,Shri Nataraj Ceramic and Chemical Industries Limited,
NSE/NUCHEM,Nuchem Limited,
NSE/TULIP,Tulip Telecom Limited,
NSE/SPCNXDEFTY,National Stock Exchange of India Stock Index - S&P CNX DEFTY,
NSE/RANKLIN,Ranklin Solutions Limited,
NSE/NRC,NRC Limited,
NSE/A2ZMES,A2Z Maintenance & Engineering Services Limited,
NSE/APLAB,Aplab Limited,
NSE/HYDROSS,Hydro S & S Industries Limited,
NSE/CNX200,National Stock Exchange of India Stock Index - CNX 200,
NSE/UTISUNDER,Nifty,
NSE/SPCNX500SHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH,
NSE/AVANTI,Avanti Feeds Limited,
NSE/CNXHIGHBETA,National Stock Exchange of India Stock Index - CNX HIGH BETA,
NSE/CASTROL,Castrol India Limited,
NSE/VTMLTD,VTM Limited,
NSE/MAHINDUGIN,Mahindra Ugine Steel Company Limited,
